NOM_ENT,NOM_MUN,POBR_CAR_PROM,VUL_CAR_PROM,VUL_ING_POR,CAR_SALUD_PROM,CAR_SEG_SOC_PROM
Chiapas,Tzimol,2.533448214,2.0654229723,1.6944528336,3.0338476972,2.5302672853
Chiapas,Unión Juárez,2.5364804715,2.1486501038,2.6446404931,2.9904084261,2.5621127238
Chiapas,Venustiano Carranza,3.3980822881,2.7474831006,2.6384240037,3.8038612504,3.4682323485
Chiapas,Villa Corzo,3.0118601086,2.3881942949,1.4901781494,3.4315106059,3.0116719054
Chiapas,Villaflores,2.7836153187,2.134252379,1.7535120348,3.0392008624,2.7229738141
Chiapas,Yajalón,2.7106257002,1.9172080862,0.7695469457,3.1809971768,2.7107046903
Chiapas,San Lucas,3.1873583975,2.7103216608,0.8742803588,3.8654188948,3.2600450016
Chiapas,Zinacantán,3.0566913031,2.5777768643,0.3379986949,3.9482484076,3.1046669577
Chiapas,San Juan Cancuc,3.0909979814,2.9474282057,0.1400912073,4.1189561319,3.2671710196
Chiapas,Aldama,2.9558583963,2.6689434797,0.0455253384,3.9294926913,2.9731886769
Chiapas,Benemérito de las Américas,2.8469097243,2.3818993225,1.2873424637,3.4533523657,2.9492594569
Chiapas,Maravilla Tenejapa,2.9584705044,2.1927354554,1.4243250804,4.1296587927,3.1227771633
Chiapas,Marqués de Comillas,2.6342914915,2.231066769,2.6752095096,3.9660114129,2.8113959924
Chiapas,Montecristo de Guerrero,2.1058396798,1.7338490253,0.5490617904,3.1788702929,2.1077646461
Chiapas,San Andrés Duraznal,2.9454869129,2.5515259581,1.179923295,3.9480932203,3.0938830817
Chiapas,Santiago el Pinar,3.0923496948,2.7262358125,0.4960114543,4.0796460177,3.1370535714
Chiapas,Capitán Luis Ángel Vidal,2.0733687983,1.8527175517,0.2230080151,3.2526041667,2.0845597406
Chiapas,Rincón Chamula San Pedro,3.1403792078,3.0127304398,0.0648511424,4.1010264722,3.2351880474
Chiapas,El Parral,2.7485102818,2.1683318103,2.0002158155,3.3139904163,2.7351147254
Chiapas,Emiliano Zapata,2.9593463397,2.2102532146,2.359361507,3.2618075397,2.9704168298
Chiapas,Mezcalapa,2.8009124451,2.0940304246,1.1831942854,3.3312882262,2.7771367107
Chiapas,Honduras de la Sierra,n.d.,n.d.,n.d.,n.d.,n.d.
Chihuahua,Ahumada,1.6248509274,1.4043077261,13.1672291636,2.4415856638,1.6326576921
Chihuahua,Aldama,1.4951546445,1.326736665,11.8602222756,2.4498913993,1.4435565799
Chihuahua,Allende,1.6972854261,1.4514521191,14.0352011494,2.3311567164,1.6566878981
